Verification_Results,Record_ID,Compound_ID,Compound_Name,SMILES,InChI,InChIKey,Degradation_Target,Target_Uniprot,Recruiter,Cell_Line,Assay,DC50,DC50_units,DC50_h,Dmax,Dmax_h,Dmax_conc,DOI,Connectivity_Key
Image,7029,3214,PPC6,CC1=C(C2=CC=C([C@H](C)NC(=O)[C@@H]3C[C@@H](O)CN3C(=O)[C@@H](NC(=O)CCCCC(=O)N3CCN(CC4(C)CCC(C5=CC=C(Cl)C=C5)=C(CN5CCN(C6=CC=C(C(=O)NS(=O)(=O)C7=CC=C(N[C@H](CCN8CCOCC8)CSC8=CC=CC=C8)C(S(=O)(=O)C(F)(F)F)=C7)C=C6)CC5)C4)CC3)C(C)(C)C)C=C2)SC=N1,"InChI=1S/C80H101ClF3N11O11S4/c1-54(56-16-18-58(19-17-56)73-55(2)85-53-108-73)86-76(100)69-46-64(96)50-95(69)77(101)74(78(3,4)5)88-71(97)14-10-11-15-72(98)94-40-36-92(37-41-94)52-79(6)32-30-67(57-20-24-61(81)25-21-57)60(48-79)49-91-34-38-93(39-35-91)63-26-22-59(23-27-63)75(99)89-110(104,105)66-28-29-68(70(47-66)109(102,103)80(82,83)84)87-62(31-33-90-42-44-106-45-43-90)51-107-65-12-8-7-9-13-65/h7-9,12-13,16-29,47,53-54,62,64,69,74,87,96H,10-11,14-15,30-46,48-52H2,1-6H3,(H,86,100)(H,88,97)(H,89,99)/t54-,62+,64+,69-,74+,79?/m0/s1",KVQKGBLSBLWZKE-AAWIYDMSSA-N,BCL2,P10415,VHL,293T,,,,,47,16 h,,10.1038/s41467-021-27210-x,KVQKGBLSBLWZKE
Image,7040,3217,PPC9,CC1=C(C2=CC=C([C@H](C)NC(=O)[C@@H]3C[C@@H](O)CN3C(=O)[C@@H](NC(=O)CCCCCCCC(=O)N3CCN(CC4(C)CCC(C5=CC=C(Cl)C=C5)=C(CN5CCN(C6=CC=C(C(=O)NS(=O)(=O)C7=CC=C(N[C@H](CCN8CCOCC8)CSC8=CC=CC=C8)C(S(=O)(=O)C(F)(F)F)=C7)C=C6)CC5)C4)CC3)C(C)(C)C)C=C2)SC=N1,"InChI=1S/C83H107ClF3N11O11S4/c1-57(59-19-21-61(22-20-59)76-58(2)88-56-111-76)89-79(103)72-49-67(99)53-98(72)80(104)77(81(3,4)5)91-74(100)17-13-8-7-9-14-18-75(101)97-43-39-95(40-44-97)55-82(6)35-33-70(60-23-27-64(84)28-24-60)63(51-82)52-94-37-41-96(42-38-94)66-29-25-62(26-30-66)78(102)92-113(107,108)69-31-32-71(73(50-69)112(105,106)83(85,86)87)90-65(34-36-93-45-47-109-48-46-93)54-110-68-15-11-10-12-16-68/h10-12,15-16,19-32,50,56-57,65,67,72,77,90,99H,7-9,13-14,17-18,33-49,51-55H2,1-6H3,(H,89,103)(H,91,100)(H,92,102)/t57-,65+,67+,72-,77+,82?/m0/s1",YCSHJMBQFQHZEP-BMNBLYSOSA-N,BCL-xL,Q07817,VHL,293T,,12.8,nM,16.0,96,16 h,,10.1038/s41467-021-27210-x,YCSHJMBQFQHZEP
Image,7043,3219,PPC11,CC1=C(C2=CC=C([C@H](C)NC(=O)[C@@H]3C[C@@H](O)CN3C(=O)[C@@H](NC(=O)CCCCCCCCCC(=O)N3CCN(CC4(C)CCC(C5=CC=C(Cl)C=C5)=C(CN5CCN(C6=CC=C(C(=O)NS(=O)(=O)C7=CC=C(N[C@H](CCN8CCOCC8)CSC8=CC=CC=C8)C(S(=O)(=O)C(F)(F)F)=C7)C=C6)CC5)C4)CC3)C(C)(C)C)C=C2)SC=N1,"InChI=1S/C85H111ClF3N11O11S4/c1-59(61-21-23-63(24-22-61)78-60(2)90-58-113-78)91-81(105)74-51-69(101)55-100(74)82(106)79(83(3,4)5)93-76(102)19-15-10-8-7-9-11-16-20-77(103)99-45-41-97(42-46-99)57-84(6)37-35-72(62-25-29-66(86)30-26-62)65(53-84)54-96-39-43-98(44-40-96)68-31-27-64(28-32-68)80(104)94-115(109,110)71-33-34-73(75(52-71)114(107,108)85(87,88)89)92-67(36-38-95-47-49-111-50-48-95)56-112-70-17-13-12-14-18-70/h12-14,17-18,21-34,52,58-59,67,69,74,79,92,101H,7-11,15-16,19-20,35-51,53-57H2,1-6H3,(H,91,105)(H,93,102)(H,94,104)/t59-,67+,69+,74-,79+,84?/m0/s1",UQQFHLGCSOEWFT-SPQPUINASA-N,BCL2,P10415,VHL,293T,,,,,38,16 h,,10.1038/s41467-021-27210-x,UQQFHLGCSOEWFT
False Negative,2062,697,DT2216,CC1=C(C2=CC=C([C@H](C)NC(=O)[C@@H]3C[C@@H](O)CN3C(=O)[C@@H](NC(=O)CCCCCC(=O)N3CCN(CC[C@H](CSC4=CC=CC=C4)NC4=CC=C(S(=O)(=O)NC(=O)C5=CC=C(N6CCN(CC7=C(C8=CC=C(Cl)C=C8)CCC(C)(C)C7)CC6)C=C5)C=C4S(=O)(=O)C(F)(F)F)CC3)C(C)(C)C)C=C2)SC=N1,"InChI=1S/C77H96ClF3N10O10S4/c1-51(53-18-20-55(21-19-53)70-52(2)82-50-103-70)83-73(96)66-44-61(92)48-91(66)74(97)71(75(3,4)5)85-68(93)16-12-9-13-17-69(94)90-42-36-87(37-43-90)35-33-59(49-102-62-14-10-8-11-15-62)84-65-31-30-63(45-67(65)104(98,99)77(79,80)81)105(100,101)86-72(95)56-24-28-60(29-25-56)89-40-38-88(39-41-89)47-57-46-76(6,7)34-32-64(57)54-22-26-58(78)27-23-54/h8,10-11,14-15,18-31,45,50-51,59,61,66,71,84,92H,9,12-13,16-17,32-44,46-49H2,1-7H3,(H,83,96)(H,85,93)(H,86,95)/t51-,59+,61+,66-,71+/m0/s1",PXVFFBGSTYQHRO-REQIQPEASA-N,BCL-xL,Q07817,VHL,platelets,,>3000,nM,16.0,26,16 h,,10.1038/s41591-019-0668-z,PXVFFBGSTYQHRO
Image,474,329,ARV-825,CC1=C(C)C2=C(S1)N1C(C)=NN=C1[C@H](CC(=O)NC1=CC=C(OCCOCCOCCOCCNC3=CC=CC4=C3C(=O)N(C3CCC(=O)NC3=O)C4=O)C=C1)N=C2C1=CC=C(Cl)C=C1,"InChI=1S/C46H47ClN8O9S/c1-26-27(2)65-46-39(26)41(29-7-9-30(47)10-8-29)50-35(42-53-52-28(3)54(42)46)25-38(57)49-31-11-13-32(14-12-31)64-24-23-63-22-21-62-20-19-61-18-17-48-34-6-4-5-33-40(34)45(60)55(44(33)59)36-15-16-37(56)51-43(36)58/h4-14,35-36,48H,15-25H2,1-3H3,(H,49,57)(H,51,56,58)/t35-,36?/m0/s1",RWLOGRLTDKDANT-TYIYNAFKSA-N,BRD4,O60885,CRBN,Namalwa,,0.31,nM,24.0,,,,10.1039/d2cb00223j,RWLOGRLTDKDANT
Image,4109,1022,SNIPER(ABL)-15,CN[C@@H](C)C(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)N[C@H](C(=O)NCCOCCOCCOCCNC(=O)C1=CC=CC(C2=CC(NC3=CC=C(OC(F)(F)F)C=C3)=NC=N2)=C1)C(C1=CC=CC=C1)C1=CC=CC=C1)C1CCCCC1,"InChI=1S/C58H70F3N9O9/c1-39(62-2)53(71)68-51(42-18-10-5-11-19-42)57(75)70-29-13-22-48(70)55(73)69-52(50(40-14-6-3-7-15-40)41-16-8-4-9-17-41)56(74)64-28-31-77-33-35-78-34-32-76-30-27-63-54(72)44-21-12-20-43(36-44)47-37-49(66-38-65-47)67-45-23-25-46(26-24-45)79-58(59,60)61/h3-4,6-9,12,14-17,20-21,23-26,36-39,42,48,50-52,62H,5,10-11,13,18-19,22,27-35H2,1-2H3,(H,63,72)(H,64,74)(H,68,71)(H,69,73)(H,65,66,67)/t39-,48-,51-,52-/m0/s1",CYNNYMZGPVIXHI-ZUDXTMBRSA-N,BCR-ABL,,IAP,K562,,5000,nM,6.0,,,,10.1111/cas.13284,CYNNYMZGPVIXHI
Image,4120,1023,SNIPER(ABL)-47,CCN1CCN(CC2=CC=C(NC(=O)C3=CC=CC(C4=CC=C5N=C(NC(=O)COCCOCCOCCNC(=O)[C@@H](NC(=O)[C@@H]6CCCN6C(=O)[C@@H](NC(=O)[C@H](C)NC)C6CCCCC6)C(C6=CC=CC=C6)C6=CC=CC=C6)SC5=N4)=C3)C=C2C(F)(F)F)CC1,"InChI=1S/C67H82F3N11O9S/c1-4-79-31-33-80(34-32-79)42-50-25-26-51(41-52(50)67(68,69)70)73-61(84)49-23-14-22-48(40-49)53-27-28-54-64(74-53)91-66(75-54)76-56(82)43-90-39-38-89-37-36-88-35-29-72-63(86)59(57(45-16-8-5-9-17-45)46-18-10-6-11-19-46)78-62(85)55-24-15-30-81(55)65(87)58(47-20-12-7-13-21-47)77-60(83)44(2)71-3/h5-6,8-11,14,16-19,22-23,25-28,40-41,44,47,55,57-59,71H,4,7,12-13,15,20-21,24,29-39,42-43H2,1-3H3,(H,72,86)(H,73,84)(H,77,83)(H,78,85)(H,75,76,82)/t44-,55-,58-,59-/m0/s1",NGXYXIVUCDETCQ-LXFUJSLCSA-N,BCR-ABL,,IAP,K562,,2000,nM,6.0,,,,10.1111/cas.13284,NGXYXIVUCDETCQ
Image,4119,1019,SNIPER(ABL)-44,CCN1CCN(CC2=CC=C(NC(=O)C3=CC=CC(C4=CC=C5N=C(NC(=O)COCCOCCOCCNC(=O)[C@H](CC(C)C)NC(=O)[C@@H](O)[C@H](N)CC6=CC=CC=C6)SC5=N4)=C3)C=C2C(F)(F)F)CC1,"InChI=1S/C51H64F3N9O8S/c1-4-62-18-20-63(21-19-62)31-37-13-14-38(30-39(37)51(52,53)54)57-46(66)36-12-8-11-35(29-36)41-15-16-42-49(59-41)72-50(60-42)61-44(64)32-71-26-25-70-24-23-69-22-17-56-47(67)43(27-33(2)3)58-48(68)45(65)40(55)28-34-9-6-5-7-10-34/h5-16,29-30,33,40,43,45,65H,4,17-28,31-32,55H2,1-3H3,(H,56,67)(H,57,66)(H,58,68)(H,60,61,64)/t40-,43+,45+/m1/s1",QRGLWQMXPLDUPI-XMNZJGRJSA-N,BCR-ABL,,IAP,K562,,10000,nM,6.0,,,,10.1111/cas.13284,QRGLWQMXPLDUPI
Name Mismatch,1256,3259,,C[C@H]1CCCN1CC1=NC2=CC=C(NC(=O)C3=CC=C4C(=C3)C=NN4CCCCCCCCNC3=CC=CC4=C3C(=O)N(C3CCC(=O)NC3=O)C4=O)C=C2[NH]1,"InChI=1S/C42H47N9O5/c1-26-10-9-20-49(26)25-36-46-31-15-14-29(23-33(31)47-36)45-39(53)27-13-16-34-28(22-27)24-44-50(34)21-7-5-3-2-4-6-19-43-32-12-8-11-30-38(32)42(56)51(41(30)55)35-17-18-37(52)48-40(35)54/h8,11-16,22-24,26,35,43H,2-7,9-10,17-21,25H2,1H3,(H,45,53)(H,46,47)(H,48,52,54)/t26-,35?/m0/s1",SCZWWJDUQGVEMY-HJYWNDIWSA-N,MLLT1,Q03111,CRBN,MV4;11,,37,nM,24.0,95,24 h,,10.1186/s13045-022-01258-8,SCZWWJDUQGVEMY
Name Mismatch,7845,3949,XR4,COC1=CC(C(N)=O)=CC=C1NC(=O)[C@H]1[C@H](C2=CC=CC(Cl)=C2F)[C@]2(C(=O)NC3=CC(Cl)=CC=C32)[C@H](CC(C)(C)C)N1C(=O)OCCOCCOCCOCCOC(=O)N1[C@@H](CC(C)(C)C)[C@@]2(C(=O)NC3=CC(Cl)=CC=C32)[C@@H](C2=CC=CC(Cl)=C2F)[C@@H]1C(=O)NC1=CC=C(C(N)=O)C=C1OC,"InChI=1S/C72H76Cl4F2N8O15/c1-69(2,3)35-53-71(43-19-17-39(73)33-49(43)83-65(71)91)55(41-11-9-13-45(75)57(41)77)59(63(89)81-47-21-15-37(61(79)87)31-51(47)95-7)85(53)67(93)100-29-27-98-25-23-97-24-26-99-28-30-101-68(94)86-54(36-70(4,5)6)72(44-20-18-40(74)34-50(44)84-66(72)92)56(42-12-10-14-46(76)58(42)78)60(86)64(90)82-48-22-16-38(62(80)88)32-52(48)96-8/h9-22,31-34,53-56,59-60H,23-30,35-36H2,1-8H3,(H2,79,87)(H2,80,88)(H,81,89)(H,82,90)(H,83,91)(H,84,92)/t53-,54-,55-,56-,59+,60+,71+,72+/m0/s1",MWXCGYNSNMJAPZ-GNVMZRKFSA-N,MDM2,Q00987,MDM2,22Rv1,,5000,nM,24.0,,,,10.3390/molecules28093912,MWXCGYNSNMJAPZ
