Record_ID,Compound_ID,Compound_Name,SMILES,StdInChl,StdInChIKey,Degradation_Target,Recruiter,Recruiter_UniProtID,Cell_Line,Assay,DC50,DC50_units,DC50_h,Dmax,Dmax_h,Dmax_conc,DOI,Connectivity_Key
823,760,LC-04-077,N#CC1=C2N=C(C3=CC=C4C(=O)N(C5CCC(=O)NC5=O)CC4=C3)C=CN2N=C1,"InChI=1S/C20H14N6O3/c21-8-13-9-22-26-6-5-15(23-18(13)26)11-1-2-14-12(7-11)10-25(20(14)29)16-3-4-17(27)24-19(16)28/h1-2,5-7,9,16H,3-4,10H2,(H,24,27,28)",NMJBTMAEPJCFSH-UHFFFAOYSA-N,CK1α,CRBN,Q96SW2,,Western Blot,406,nM,,93,,,https://doi.org/10.1021/jacsau.4c00762,NMJBTMAEPJCFSH
1228,1059,17,O=C1CCC(N2CC3=C(C=CC(NC(=O)C4=CC=CC(C(F)(F)F)=C4)=C3)C2=O)C(=O)N1,"InChI=1S/C21H16F3N3O4/c22-21(23,24)13-3-1-2-11(8-13)18(29)25-14-4-5-15-12(9-14)10-27(20(15)31)16-6-7-17(28)26-19(16)30/h1-5,8-9,16H,6-7,10H2,(H,25,29)(H,26,28,30)",UCPCJPWMCSITTJ-UHFFFAOYSA-N,CK1α,CRBN,Q96SW2,,,5,nM,,90,24 h,10 μM,https://doi.org/10.1021/acsmedchemlett.4c00250,UCPCJPWMCSITTJ
434,400,HQ008,CC1=CN=C(NC(=O)CC2=CSC(NC3=NC(N4C=CC=N4)=CC=C3)=N2)S1,"InChI=1S/C17H15N7OS2/c1-11-9-18-16(27-11)23-15(25)8-12-10-26-17(20-12)22-13-4-2-5-14(21-13)24-7-3-6-19-24/h2-7,9-10H,8H2,1H3,(H,18,23,25)(H,20,21,22)",GOZYMSUKKKEICN-UHFFFAOYSA-N,CDK12-CCNK,DDB1,Q16531,,,5.03,μM,,,,,https://doi.org/10.7554/eLife.59994,GOZYMSUKKKEICN
1666,1463,12,O=C1CCC(N2CC3=C(C=CC4=C3OCC43CCN(CC4=CC=CC=C4)CC3(F)F)C2=O)C(=O)N1,"InChI=1S/C26H25F2N3O4/c27-26(28)14-30(12-16-4-2-1-3-5-16)11-10-25(26)15-35-22-18-13-31(20-8-9-21(32)29-23(20)33)24(34)17(18)6-7-19(22)25/h1-7,20H,8-15H2,(H,29,32,33)",CHGKZAOCSPXMAR-UHFFFAOYSA-N,IKZF2,CRBN,Q96SW2,,HiBiT,5.7,nM,,,,,https://doi.org/10.1038/s41467-025-58431-z,CHGKZAOCSPXMAR
1669,1466,15,O=C1CCC(N2CC3=C(C=CC4=C3OCC43CCN(CC4=CSC=C4)CC3)C2=O)C(=O)N1,"InChI=1S/C24H25N3O4S/c28-20-4-3-19(22(29)25-20)27-12-17-16(23(27)30)1-2-18-21(17)31-14-24(18)6-8-26(9-7-24)11-15-5-10-32-13-15/h1-2,5,10,13,19H,3-4,6-9,11-12,14H2,(H,25,28,29)",NOQRUWPFICADHE-UHFFFAOYSA-N,IKZF2,CRBN,Q96SW2,,HiBiT,5.9,nM,,,,,https://doi.org/10.1038/s41467-025-58431-z,NOQRUWPFICADHE
1275,1092,5,O=C1CCC(N2CC3=C(C=CC=C3CNC(=O)C3=CC=C(F)C=C3)C2=O)C(=O)N1,"InChI=1S/C21H18FN3O4/c22-14-6-4-12(5-7-14)19(27)23-10-13-2-1-3-15-16(13)11-25(21(15)29)17-8-9-18(26)24-20(17)28/h1-7,17H,8-11H2,(H,23,27)(H,24,26,28)",QYERRCYEYNDQFV-UHFFFAOYSA-N,IKZF1,CRBN,Q96SW2,,,53,nM,,84,24 h,10 μM,https://doi.org/10.1021/acsmedchemlett.4c00250,QYERRCYEYNDQFV
926,828,Lenalidomide,NC1=CC=CC2=C1CN(C1CCC(=O)NC1=O)C2=O,"InChI=1S/C13H13N3O3/c14-9-3-1-2-7-8(9)6-16(13(7)19)10-4-5-11(17)15-12(10)18/h1-3,10H,4-6,14H2,(H,15,17,18)",GOTYRUGSSMKFNF-UHFFFAOYSA-N,PLZF,CRBN,Q96SW2,,HiBit,547.1,nM,,81.34,,,https://doi.org/10.1038/s41467-023-40385-9,GOTYRUGSSMKFNF
610,563,MGD-28,CN1CC2=C(C=CC=C2NCC2=CC=C(CN3CCN(C4=CC(F)=C(C#N)C=C4)CC3)C=C2)C(=O)N1C1CCC(=O)NC1=O,"InChI=1S/C33H34FN7O3/c1-38-21-27-26(33(44)41(38)30-11-12-31(42)37-32(30)43)3-2-4-29(27)36-19-22-5-7-23(8-6-22)20-39-13-15-40(16-14-39)25-10-9-24(18-35)28(34)17-25/h2-10,17,30,36H,11-16,19-21H2,1H3,(H,37,42,43)",JICHBFQDRLGJTM-UHFFFAOYSA-N,IKZF2,CRBN,Q96SW2,HEK293T,,56.3,nM,,,,,https://doi.org/10.1186/s13045-024-01592-z,JICHBFQDRLGJTM
926,828,Lenalidomide,NC1=CC=CC2=C1CN(C1CCC(=O)NC1=O)C2=O,"InChI=1S/C13H13N3O3/c14-9-3-1-2-7-8(9)6-16(13(7)19)10-4-5-11(17)15-12(10)18/h1-3,10H,4-6,14H2,(H,15,17,18)",GOTYRUGSSMKFNF-UHFFFAOYSA-N,CK1α,CRBN,Q96SW2,,HiBit,575,nM,,70.44,,,https://doi.org/10.1038/s41467-023-40385-9,GOTYRUGSSMKFNF
686,633,19,COC1=CC(C(=O)NC2=CC3=C(C=C2)C(=O)N(C2CCC(=O)NC2=O)C3)=CC=C1,"InChI=1S/C21H19N3O5/c1-29-15-4-2-3-12(10-15)19(26)22-14-5-6-16-13(9-14)11-24(21(16)28)17-7-8-18(25)23-20(17)27/h2-6,9-10,17H,7-8,11H2,1H3,(H,22,26)(H,23,25,27)",MNOPHTXOYIDKKA-UHFFFAOYSA-N,CK1α,CRBN,Q96SW2,,,6,nM,,90,24 h,10 μM,https://doi.org/10.1021/acsmedchemlett.4c00250,MNOPHTXOYIDKKA
